Year	Pertussis
1924	6377
1925	7218
1926	6968
1927	6691
1928	6650
1929	10536
1930	11747
1931	9174
1932	12058
1933	14622
1934	19484
1935	17991
1936	16256
1937	17396
1938	16003
1939	17972
1940	19878
1941	16647
1942	18384
1943	19082
1944	12384
1945	12192
1946	7671
1947	10324
1948	7084
1949	7961
1950	12182
1951	8889
1952	8520
1953	9387
1954	11600
1955	13682
1956	8513
1957	7459
1958	6932
1959	7259
1960	5993
1961	5476
1962	8076
1963	6134
1964	4844
1965	2472
1966	4555
1967	4949
1968	2505
1969	1242
1970	2098
1971	3002
1972	1297
1973	997
1974	1579
1975	3387
1976	3002
1977	1988
1978	2666
1979	2227
1980	2873
1981	2632
1982	2314
1983	2232
1984	1353
1985	2433
1986	2557
1987	1483
1988	1301
1989	3943
1990	8330
1991	2534
1992	3763
1993	7537
1994	10116
1995	9308
1996	5230
1997	4281
1998	8896
1999	5862
2000	4748
2001	2945
2002	3199
2003	3239
2004	3104
2005	2492
2006	2346
2007	1493
2008	1967
2009	1628
2010	750
2011	694
2012	4652
2013	1277
2014	1526
2015	3514
2016	3936
